檔案: ,D:\FLIR\DJI_0089_R.jpg

參數:,放射率:,1 
,反射溫度:,20 °C
,距離:,0 m
,大氣溫度:,20 °C
,外部光學溫度:,20 °C
,外部光學穿透率:,1 
,相對濕度:,30 %
,
畫面 1,21.186,21.228,21.207,21.29,21.352,21.165,21.145,21.311,21.642,22.055,21.124,21.808,21.539,21.559,21.622,22.199,22.302,21.684,22.261,22.302,22.014,22.158,22.814,22.425,22.302,22.384,22.651,22.876,22.61,22.773,22.794,22.528,23.202,22.978,22.835,23.202,23.243,23.08,22.917,23.243,23.263,23.243,23.243,23.467,23.385,23.324,23.446,23.446,23.528,23.69,23.629,23.649,23.791,23.852,23.832,24.216,24.034,23.973,24.357,24.316,24.316,24.377,24.518,24.538,24.959,24.578,24.538,24.779,24.578,24.538,24.779,24.899,24.799,24.859,24.999,25.459,24.939,24.879,25.399,25.478,25.339,25.478,25.239,25.439,25.059,25.179,25.439,25.598,25.578,25.936,25.916,25.797,25.956,25.797,25.658,26.371,25.896,25.896,26.075,26.055,26.094,25.916,25.837,26.253,26.154,26.312,26.332,26.391,26.391,26.49,26.45,26.608,26.49,26.667,26.628,26.687,27.1,26.884,26.707,27.06,27.1,27.06,27.296,27.296,27.139,27.1,27.06,27.237,27.06,27.198,27.257,27.433,27.315,27.335,27.354,27.315,27.472,27.394,27.394,27.511,27.57,27.433,27.491,27.765,27.843,27.55,28.037,27.687,27.706,27.648,27.901,27.94,28.018,28.057,27.94,28.135,28.115,28.232,28.076,28.135,28.154,28.154,28.154,28.154,28.329,28.232,28.426,28.232,28.309,28.348,28.367,28.445,28.503,28.484,28.793,28.774,28.387,28.619,28.774,28.774,28.735,28.851,28.909,28.774,29.14,28.87,29.005,28.851,28.793,29.102,28.928,28.967,28.851,28.967,29.044,29.275,29.486,29.409,29.563,29.217,29.428,29.505,29.275,29.352,29.371,29.486,29.371,29.448,29.448,29.352,29.217,29.39,29.332,29.563,29.524,29.62,29.639,29.62,29.754,29.582,29.524,29.505,29.563,29.678,29.888,29.888,29.773,30.041,29.812,29.678,29.716,29.831,29.869,30.003,30.155,29.984,30.06,29.85,29.869,30.213,29.926,29.869,29.965,30.384,30.175,30.155,30.041,30.041,30.079,29.869,30.175,30.117,30.365,30.155,30.155,30.46,30.06,30.308,30.117,30.136,30.46,30.308,30.27,30.308,30.536,29.984,30.251,30.27,30.346,30.327,30.631,30.536,30.498,30.46,30.308,30.289,30.574,30.346,30.384,30.441,30.669,30.574,30.422,30.422,30.612,30.403,30.403,30.574,30.688,30.593,30.384,30.555,30.726,30.726,30.783,30.631,30.365,31.029,30.631,30.517,30.612,30.821,30.688,30.593,30.65,30.783,30.65,30.669,30.707,31.086,30.65,30.593,30.707,30.916,30.84,30.84,30.916,30.745,30.669,30.84,30.726,30.536,30.84,30.953,30.745,30.612,30.821,30.764,30.688,30.934,30.669,30.631,30.669,30.802,30.783,30.707,30.783,30.764,30.707,30.821,30.934,30.65,30.764,30.745,30.859,30.631,30.574,30.555,30.631,30.745,30.859,30.84,30.574,30.555,30.745,30.65,30.593,30.574,30.593,30.707,30.972,30.593,30.783,30.631,30.536,30.612,30.479,30.441,30.536,30.631,30.498,30.593,30.46,30.764,30.422,30.422,30.441,30.346,30.593,30.479,30.498,30.346,30.631,30.365,30.327,30.498,30.536,30.308,30.422,30.555,30.365,30.155,30.422,30.213,30.479,30.365,30.06,30.117,30.384,30.555,30.384,30.479,30.232,30.194,30.27,30.422,30.346,30.308,30.27,30.175,30.175,30.117,30.117,30.251,30.041,29.888,29.907,30.175,29.984,29.965,30.003,30.079,30.175,30.098,30.003,29.85,30.041,29.946,30.155,30.041,29.812,29.735,29.907,29.735,29.773,29.716,29.735,29.601,29.793,29.735,29.85,29.869,29.486,29.869,29.869,29.563,29.448,30.003,29.639,29.601,29.505,29.486,29.639,29.371,29.524,29.563,29.831,29.544,29.659,29.371,29.352,29.62,29.505,29.371,29.486,29.313,29.14,29.159,29.179,29.121,29.082,29.198,29.236,29.198,29.159,29.121,28.89,29.121,29.121,29.102,28.986,28.851,28.967,28.774,29.044,28.851,28.735,28.619,28.812,28.658,28.619,28.619,28.58,28.87,28.716,28.696,28.387,28.348,28.387,28.754,28.561,28.348,28.27,28.232,28.406,28.27,28.154,28.232,28.309,28.348,28.115,27.921,28.037,27.921,27.921,27.784,27.726,27.706,27.667,28.018,27.804,27.823,27.94,27.706,27.667,27.53,27.57,27.589,27.452,27.413,27.55,27.354,27.315,27.648,27.296,27.315,27.237,27.335,27.452,27.217,27.159,27.06,27.394,27.237,27.159,27.08,27.08,26.864,26.825,26.648,26.687,27.139,26.707,26.648,26.648,26.608,26.766,26.608,26.529,26.49,26.272,26.312,26.114,26.391,26.134,26.134,26.253,26.371,26.035,25.817,25.936,25.896,25.916,25.757,25.618,25.658,25.777,25.478,25.478,25.837,25.638,25.478,25.439,25.817,25.797,25.419,25.239,25.339,25.259,24.959,25.379,25.159,25.079,25.219,24.719,24.859,24.799,24.819,25.059,24.979,25.079,24.658,24.819,24.457,24.698,24.678,24.558,24.518,24.498,24.276,24.538,24.074,24.799,24.276,24.256,24.397,24.155,23.933,24.437,24.094,23.751,23.609,23.446,24.175,23.73,24.135,23.791,23.791,23.69,24.236,23.71,23.629,23.568,23.791,23.69,23.751,23.121,23.568,23.426,23.446
,20.644,20.749,21.082,20.749,21.435,21.02,21.02,21.207,21.311,21.746,21.435,21.414,21.539,21.497,21.622,21.704,21.787,22.096,22.034,21.931,21.497,21.869,22.137,22.158,22.446,22.302,22.487,22.24,22.405,23.019,22.302,22.384,22.692,22.712,23.039,22.876,23.202,22.712,22.937,23.223,22.814,22.692,23.019,22.876,23.263,23.385,23.588,23.385,23.528,23.913,23.872,23.385,23.771,23.588,23.832,24.135,23.953,24.195,23.892,24.155,24.256,24.216,24.477,24.296,24.417,24.638,24.698,24.357,24.658,24.759,24.698,24.719,24.779,24.859,24.979,24.979,24.819,24.959,25.099,25.119,25.299,25.379,25.319,25.279,25.139,25.319,25.199,25.478,25.498,25.618,25.439,25.638,25.856,25.478,25.697,26.075,25.757,25.837,26.094,26.075,25.876,25.936,25.956,25.757,26.371,26.134,25.936,26.134,26.174,26.549,26.213,26.233,26.49,26.114,26.588,26.569,26.726,26.707,26.864,26.726,26.923,27.002,27.08,27.178,27.139,26.864,27.002,27.021,27.06,27.178,27.296,27.276,27.178,27.257,27.374,27.296,27.823,27.413,27.354,27.589,27.55,27.354,27.472,27.433,27.433,27.706,27.667,27.823,27.53,27.667,27.998,27.765,28.018,28.037,27.882,27.862,28.037,28.193,28.096,28.018,28.135,28.309,28.135,28.173,28.076,28.037,28.096,28.173,28.406,28.348,28.387,28.27,28.406,28.387,28.426,28.561,28.6,28.503,28.638,28.6,28.503,28.619,28.638,28.677,28.754,28.89,28.967,28.619,28.812,28.812,28.735,28.812,28.967,29.082,29.294,28.986,29.044,29.044,29.256,29.063,29.352,28.947,29.236,29.505,29.332,29.14,29.217,29.332,29.448,29.236,29.256,29.217,29.256,29.505,29.448,29.62,29.409,29.563,29.486,29.639,29.62,29.486,29.62,29.524,29.793,29.582,29.582,29.62,29.313,29.62,29.773,29.965,29.62,29.831,29.831,29.735,29.984,29.831,29.888,29.831,29.907,29.984,29.965,29.965,30.041,29.869,30.117,29.946,30.098,30.022,30.194,30.155,30.175,30.346,30.175,30.098,30.155,30.27,30.098,30.098,30.213,30.308,30.232,30.327,30.079,30.098,30.136,30.27,30.422,30.098,30.384,30.365,30.422,30.251,30.194,30.327,30.327,30.289,30.441,30.346,30.289,30.46,30.346,30.346,30.346,30.327,30.232,30.365,30.27,30.308,30.555,30.422,30.65,30.707,30.631,30.251,30.574,30.536,30.384,30.289,30.46,30.46,30.555,30.498,30.365,30.479,30.612,30.555,30.688,30.555,30.65,30.365,30.517,30.669,30.783,30.669,30.688,30.688,30.688,30.897,30.593,30.536,30.688,30.574,30.65,30.441,30.65,30.498,30.688,30.745,30.65,30.574,30.346,30.631,30.707,30.65,30.612,30.65,30.821,30.593,30.821,30.555,30.612,30.46,30.688,30.669,30.65,30.536,30.802,30.612,30.669,30.631,30.65,30.308,30.479,30.631,30.384,30.479,30.232,30.593,30.422,30.327,30.498,30.669,30.194,30.764,30.517,30.308,30.422,30.403,30.517,30.441,30.536,30.308,30.441,30.365,30.65,30.441,30.175,30.46,30.384,30.232,30.308,30.346,30.327,30.213,30.041,30.213,30.384,30.289,30.213,30.213,30.327,30.175,30.289,30.346,30.194,30.308,30.441,30.308,30.117,30.289,30.213,30.117,30.175,30.155,30.308,30.175,30.175,30.175,30.098,29.907,30.155,29.812,29.888,29.812,29.946,29.984,29.888,29.85,29.793,29.869,30.079,30.041,29.812,29.812,30.003,29.735,29.812,29.773,29.831,29.716,29.754,29.716,29.716,29.793,29.639,29.428,29.563,29.678,29.659,29.544,29.486,29.39,29.582,29.754,29.486,29.601,29.486,29.448,29.735,29.39,29.563,29.332,29.467,29.409,29.409,29.563,29.313,29.294,29.428,29.294,29.159,29.102,29.063,29.044,29.082,28.967,29.121,29.121,29.063,29.082,29.025,28.967,29.063,29.025,28.87,28.909,28.677,28.947,28.947,28.851,28.774,28.561,29.044,28.464,28.89,28.503,28.464,28.735,28.6,28.561,28.542,28.561,28.309,28.348,28.27,28.27,28.329,28.309,27.96,28.193,28.29,28.27,28.115,28.154,28.018,28.037,28.173,27.998,27.784,27.628,28.018,27.823,27.882,27.784,27.745,27.745,27.667,27.706,27.53,27.687,27.843,27.804,27.784,27.491,27.648,27.374,27.257,27.394,27.433,26.962,27.413,27.354,27.394,27.257,27.178,27.217,27.296,27.08,26.962,27.1,27.06,26.923,26.923,26.903,26.884,26.923,26.667,26.628,26.608,26.549,26.648,26.569,26.667,26.431,26.47,26.549,26.154,26.352,26.391,26.253,26.094,26.075,25.896,26.094,26.193,26.035,26.035,25.856,25.837,25.618,25.598,25.478,25.598,25.379,25.538,25.379,25.478,25.598,25.658,25.439,25.459,25.339,25.179,25.299,25.359,25.159,25.079,24.879,24.939,24.939,24.839,24.819,24.799,24.477,25.059,24.819,24.739,24.799,24.377,24.316,24.256,24.698,24.799,24.658,24.538,24.276,23.852,24.094,24.175,24.397,24.236,24.236,24.316,23.953,23.609,23.973,23.832,23.67,23.609,23.953,23.467,23.548,23.993,23.588,23.953,23.67,23.629,23.406,23.528,23.629,23.69,23.385,23.385,23.304,23.243,23.121,23.426,23.304
,20.832,20.749,20.874,21.394,21.207,20.978,21.082,20.77,21.311,21.331,20.936,21.746,21.29,21.456,21.663,21.993,21.849,21.973,21.684,21.931,22.055,21.477,21.952,21.931,22.158,22.261,22.158,22.302,22.014,22.651,22.384,22.446,22.835,21.952,22.302,22.63,22.794,22.671,22.937,23.08,22.835,22.957,22.937,22.753,23.243,23.385,23.304,23.385,23.019,23.548,23.243,23.568,23.528,23.507,23.67,23.872,23.852,24.357,24.135,24.014,24.135,24.719,24.054,24.074,24.578,24.256,24.074,24.377,24.759,24.417,24.598,24.357,24.759,24.678,24.859,24.879,24.598,24.739,25.059,25.159,25.119,25.079,25.399,24.919,25.159,25.319,25.558,25.518,25.399,25.399,25.399,25.678,25.498,25.658,25.439,25.439,25.856,25.777,25.896,25.856,25.817,25.797,26.174,26.174,26.075,26.154,26.015,26.154,26.431,26.114,26.134,26.233,26.233,26.253,26.509,26.45,26.529,26.648,26.687,26.648,26.569,26.628,26.884,26.509,26.608,26.825,26.884,27.08,26.943,27.1,26.766,27.08,27.06,27.159,27.119,27.159,27.315,27.335,27.217,27.511,27.394,27.335,27.198,27.374,27.237,27.433,27.511,27.413,27.589,27.511,27.648,27.706,27.589,27.765,27.57,27.901,27.55,27.843,27.998,27.862,27.94,27.843,28.232,27.979,27.998,28.115,27.998,28.115,27.804,28.232,28.29,28.037,28.193,28.29,28.348,28.193,28.29,28.426,28.58,28.445,28.426,28.58,28.58,28.638,28.774,28.58,28.967,28.735,28.677,28.774,28.716,28.812,29.025,28.986,28.677,29.025,29.005,29.256,29.025,28.909,28.967,29.063,29.063,29.179,29.332,29.121,28.793,29.005,29.14,29.121,29.159,29.063,29.236,29.275,29.313,29.409,29.467,29.448,29.467,29.505,29.582,29.275,29.582,29.39,29.582,29.256,29.524,29.39,29.62,29.486,29.582,29.678,29.888,30.041,29.697,29.678,30.041,29.601,29.793,29.659,29.85,29.639,29.773,29.984,29.907,29.869,29.888,29.831,29.965,29.888,30.079,30.06,30.079,30.117,29.984,30.041,29.965,30.06,29.984,30.232,30.022,30.041,30.175,29.965,30.003,29.793,30.079,30.079,30.155,30.098,30.308,30.289,30.346,30.27,30.346,30.003,30.155,30.194,30.213,30.346,30.308,30.27,30.27,30.251,30.479,30.098,30.175,30.251,30.098,30.289,30.422,30.384,30.517,30.403,30.384,30.422,30.327,30.498,30.441,30.251,30.232,30.346,30.46,30.327,30.422,30.441,30.517,30.574,30.403,30.365,30.403,30.251,30.251,30.574,30.555,30.574,30.365,30.46,30.536,30.631,30.669,30.65,30.536,30.498,30.384,30.422,30.574,30.745,30.593,30.612,30.517,30.441,30.403,30.441,30.498,30.422,30.555,30.308,30.479,30.726,30.707,30.536,30.555,30.441,30.574,30.612,30.536,30.593,30.612,30.555,30.593,30.517,30.27,30.479,30.517,30.517,30.479,30.517,30.479,30.384,30.441,30.327,30.422,30.441,30.194,30.327,30.498,30.346,30.289,30.46,30.213,30.27,30.308,30.346,30.27,30.022,30.289,30.251,30.308,30.346,30.365,30.213,30.175,30.175,30.098,30.155,30.041,30.003,30.079,30.213,30.194,30.232,30.194,29.984,29.984,30.079,30.079,30.041,30.098,29.946,30.098,30.175,29.582,30.308,29.888,30.041,30.098,30.327,30.098,30.155,30.041,30.003,29.926,29.888,29.716,29.812,29.812,29.812,29.85,29.812,29.85,29.907,29.907,29.773,29.467,29.773,29.716,29.793,29.678,29.678,29.697,29.659,29.544,29.659,29.256,29.601,29.524,29.563,29.563,29.62,29.601,29.486,29.544,29.198,29.563,29.544,29.486,29.467,29.428,29.352,29.467,29.409,29.524,29.256,29.39,29.217,29.217,29.179,29.198,29.467,29.217,29.005,29.179,29.236,29.179,29.044,28.812,28.947,28.851,29.121,28.967,29.005,29.121,28.928,29.159,29.005,28.89,28.696,28.754,28.967,28.677,28.812,28.716,28.638,28.638,28.716,29.005,28.561,28.309,28.522,28.542,28.542,28.503,28.309,28.096,28.232,28.212,28.154,28.387,28.309,28.193,28.173,28.076,28.173,28.076,28.135,28.135,28.096,27.96,28.057,27.784,27.921,27.687,27.784,27.745,27.765,27.823,27.726,27.511,27.648,27.589,27.648,27.55,27.354,27.609,27.472,27.335,27.413,27.315,27.491,27.589,27.198,27.413,27.217,27.315,27.119,27.257,27.198,27.119,27.041,26.805,27.08,27.021,27.237,27.041,26.648,26.608,26.628,26.648,26.569,26.608,26.687,26.648,26.588,26.154,26.431,26.391,26.371,26.094,26.253,26.292,26.272,25.975,25.876,25.995,25.737,25.995,26.075,25.975,25.658,25.498,25.896,25.538,25.339,25.498,25.279,25.379,25.439,25.099,25.518,25.538,25.399,25.399,25.119,25.239,25.219,25.219,24.859,24.578,24.859,24.899,25.059,24.959,24.759,24.739,25.019,24.598,24.819,24.538,24.477,24.538,24.518,24.397,24.558,24.598,24.598,24.759,24.357,23.811,24.236,24.115,24.135,24.216,24.175,24.115,23.993,23.791,23.67,23.892,23.71,23.507,23.649,23.385,23.385,23.182,23.182,23.609,23.649,23.202,23.467,23.426,23.284,23.467,23.629,23.406,23.263,23.284,23.223,23.223,23.243
,20.811,20.811,20.957,21.061,20.811,21.311,20.832,20.978,21.414,21.435,21.559,21.248,21.456,21.331,21.622,21.601,21.931,21.973,22.034,21.952,21.642,21.663,21.869,21.931,21.704,22.24,22.22,22.322,22.261,22.425,22.158,22.466,22.61,22.446,22.405,22.528,22.651,22.855,22.855,22.753,22.978,22.855,22.978,22.814,23.039,23.182,23.121,23.059,23.426,23.71,23.406,23.426,23.467,23.73,23.751,23.933,23.67,23.832,23.973,23.852,23.973,23.953,24.397,23.973,24.034,24.155,24.598,24.538,24.819,24.819,24.175,24.437,24.839,24.719,24.939,24.739,24.919,24.899,25.139,25.119,24.939,25.099,25.119,25.339,25.099,25.079,25.019,25.259,25.618,25.399,25.439,25.578,25.598,25.538,25.538,25.837,25.658,25.757,25.777,25.797,25.697,25.697,25.797,25.717,25.936,26.134,25.975,26.075,26.193,26.174,26.253,26.213,26.272,26.312,26.352,26.47,26.726,26.569,26.687,26.608,26.766,26.628,26.903,26.707,26.884,26.884,26.903,26.943,26.864,26.805,26.982,27.06,27.159,27.06,27.002,27.296,27.413,27.335,27.198,27.139,27.276,27.413,27.1,27.335,27.374,27.472,27.511,27.57,27.823,27.57,27.628,27.648,27.843,27.648,27.765,27.784,27.765,27.901,27.804,27.862,27.882,28.135,27.94,28.018,28.193,28.115,28.173,28.037,28.135,28.018,28.018,27.862,28.367,28.212,28.27,28.329,28.484,28.27,28.561,28.484,28.406,28.6,28.464,28.6,28.677,28.522,28.909,28.754,28.638,28.561,28.735,28.793,28.832,28.793,28.58,28.947,28.87,29.14,28.967,29.005,28.89,29.159,29.352,29.198,29.313,29.179,29.294,29.044,29.179,28.967,29.275,29.082,29.294,29.179,29.428,29.448,29.352,29.467,29.371,29.505,29.371,29.313,29.39,29.332,29.409,29.486,29.524,29.563,29.524,29.544,29.524,29.601,29.697,29.62,29.409,29.601,29.582,29.678,29.659,29.754,29.926,29.831,29.793,29.907,30.041,29.812,29.831,30.022,29.85,29.946,30.041,30.194,29.831,29.907,29.926,29.984,29.965,29.946,30.041,30.022,30.117,30.041,30.022,30.06,30.079,30.136,29.926,30.175,30.117,30.079,30.194,30.041,30.289,30.251,30.098,30.27,29.85,30.441,30.194,30.251,30.194,30.232,30.232,30.403,30.327,30.327,30.251,30.251,30.213,30.213,30.289,30.46,30.327,30.422,30.289,30.194,30.46,30.46,30.346,30.308,30.346,30.308,30.175,30.46,30.441,30.384,30.574,30.574,30.327,30.327,30.384,30.46,30.441,30.783,30.498,30.574,30.555,30.441,30.422,30.612,30.536,30.422,30.593,30.308,30.346,30.422,30.479,30.441,30.403,30.612,30.498,30.479,30.289,30.213,30.479,30.536,30.555,30.308,30.669,30.631,30.631,30.498,30.327,30.536,30.536,30.422,30.536,30.612,30.726,30.365,30.479,30.498,30.479,30.403,30.612,30.403,30.517,30.574,30.155,30.479,30.422,30.441,30.422,30.365,30.308,30.346,30.194,30.251,30.251,30.308,30.498,30.346,30.194,30.289,30.308,30.175,30.213,30.27,30.27,30.232,30.136,30.098,30.27,30.136,30.136,30.079,30.06,29.965,29.888,30.251,30.194,30.117,29.946,30.098,30.022,30.079,30.022,30.022,30.003,30.041,30.022,30.06,29.716,30.098,29.965,30.003,29.984,30.175,30.003,29.946,29.965,29.812,29.754,29.888,29.946,29.831,29.601,29.716,29.716,29.62,29.697,29.659,29.754,29.907,29.793,29.793,29.773,29.812,29.697,29.754,29.793,29.678,29.544,29.563,29.582,29.524,29.563,29.448,29.467,29.524,29.467,29.505,29.39,29.39,29.409,29.601,29.39,29.371,29.352,29.179,29.39,29.39,29.294,29.39,29.159,29.198,29.428,29.063,29.256,29.332,29.025,29.428,29.198,28.986,28.986,29.025,28.89,28.89,28.928,28.967,28.947,28.967,28.851,28.561,28.89,28.967,28.561,28.445,28.774,28.735,28.658,28.677,28.851,28.561,28.406,28.561,28.638,28.484,28.522,28.426,28.387,28.542,28.309,28.542,28.076,28.309,28.232,28.251,28.193,28.251,28.173,28.018,27.882,28.251,27.979,27.979,28.115,28.096,28.154,27.901,27.843,27.726,27.784,27.823,27.648,27.745,27.57,27.609,27.354,27.472,27.472,27.452,27.55,27.491,27.257,27.217,27.198,27.119,27.237,27.335,27.041,27.237,26.884,27.041,27.06,27.296,27.139,27.257,26.962,27.198,26.805,26.903,27.002,26.766,27.002,26.805,26.903,26.687,26.746,26.411,26.312,26.431,26.45,26.431,26.371,25.837,26.352,26.352,26.371,26.094,26.233,26.174,25.956,26.094,25.896,25.797,25.777,25.956,25.797,25.578,25.797,25.578,25.159,25.199,25.399,25.299,25.856,25.359,25.319,25.259,25.139,25.279,25.019,25.279,25.099,25.099,25.119,25.139,25.159,24.678,24.879,24.899,24.498,24.779,24.799,24.779,24.377,24.799,24.618,24.518,24.457,24.175,24.397,23.973,24.759,24.618,24.397,24.538,24.054,24.054,24.216,24.074,23.913,23.892,24.316,23.872,23.73,23.771,23.73,23.892,23.69,23.528,23.406,23.345,23.568,23.629,23.345,23.406,23.039,23.73,22.957,23.161,23.161,23.202,23.568,22.671,23.223,23.202,23.385,23.182
,20.749,20.435,21.02,20.957,20.707,20.707,20.728,21.456,20.999,21.58,20.916,20.916,21.041,21.165,21.373,21.414,21.746,21.808,21.704,21.704,21.539,21.849,22.055,21.993,21.601,22.076,22.076,21.931,21.973,22.651,21.642,22.22,22.487,22.405,22.364,22.773,22.733,22.671,22.507,22.773,22.733,22.753,22.814,22.917,22.773,23.202,23.1,23.202,23.202,23.548,23.161,23.467,23.548,23.609,23.71,23.872,23.771,23.609,24.034,23.993,24.014,24.054,24.034,23.933,24.074,23.973,24.477,24.417,24.296,24.195,24.417,24.014,24.739,24.618,24.698,24.698,24.638,24.839,25.059,24.719,25.099,24.799,24.939,24.518,25.059,24.999,25.039,25.359,25.498,25.518,25.339,25.578,25.737,25.558,25.199,25.558,25.439,25.518,25.498,25.538,25.459,25.717,25.777,25.518,25.956,25.956,25.856,25.817,26.154,26.193,25.916,26.134,26.47,25.995,26.569,26.411,26.411,26.844,26.628,26.687,26.588,26.45,26.844,26.825,27.119,26.844,26.844,26.903,26.766,26.844,26.825,27.178,27.021,27.021,27.159,27.041,27.06,27.08,27.119,27.276,27.159,27.257,27.354,27.374,27.452,27.609,27.628,27.452,27.472,27.511,27.628,27.687,27.745,27.687,27.667,27.706,27.784,27.823,27.687,27.804,27.706,28.018,28.018,27.726,27.882,28.173,27.921,27.882,28.037,28.173,28.154,28.251,28.154,28.057,28.619,28.27,28.096,28.232,28.387,28.387,28.387,28.464,28.445,28.445,28.484,28.348,28.638,28.522,28.6,28.89,28.464,28.793,28.87,28.87,29.102,28.812,28.89,28.928,29.14,28.619,28.735,28.947,28.986,28.89,29.005,29.159,28.928,29.352,28.812,29.198,28.87,29.005,29.005,29.256,29.217,29.352,29.102,29.371,29.256,29.332,29.256,29.275,29.371,29.486,29.448,29.409,29.62,29.448,29.448,29.524,29.448,29.409,29.505,29.601,29.812,29.544,29.639,29.678,29.907,29.716,29.869,29.697,29.907,30.117,29.812,29.793,29.754,29.793,29.907,29.639,30.079,29.926,29.773,30.022,29.831,29.869,29.926,30.003,30.022,30.136,30.041,30.041,30.041,30.251,29.773,29.812,29.926,30.117,29.907,29.888,30.041,30.194,30.098,30.308,30.003,30.079,30.175,30.251,30.175,30.251,30.422,30.27,30.194,30.251,30.536,30.213,30.213,30.536,30.327,30.251,30.289,30.327,30.136,30.251,30.117,30.232,30.003,30.422,30.213,30.384,30.403,30.27,30.555,30.422,30.384,30.403,30.346,30.441,30.384,30.232,30.365,30.365,30.155,30.46,30.555,30.479,30.498,30.479,30.346,30.308,30.27,30.422,30.46,30.422,30.365,30.194,30.365,30.441,30.441,30.536,30.251,30.593,30.289,30.422,30.441,30.517,30.365,30.365,30.213,30.688,30.688,30.441,30.574,30.46,30.517,30.346,30.498,30.365,30.555,30.536,30.498,30.422,30.46,30.403,30.422,30.498,30.346,30.251,30.327,30.384,30.384,30.46,30.498,30.27,30.232,30.46,30.346,30.194,30.213,30.27,30.384,30.289,30.194,30.06,30.289,30.175,30.251,30.251,30.213,30.308,29.907,30.098,30.136,30.098,30.117,30.136,30.041,29.946,30.27,30.003,30.098,30.27,29.85,29.869,30.022,30.117,30.022,30.041,29.984,29.888,30.175,29.946,29.984,30.06,30.06,30.098,30.06,29.965,29.831,30.155,29.831,29.793,29.793,30.041,29.812,29.773,29.659,29.563,29.582,29.544,29.735,29.697,29.639,29.678,29.773,29.639,29.659,29.62,29.486,29.601,29.62,29.486,29.582,29.505,29.601,29.428,29.428,29.524,29.467,29.467,29.486,29.14,29.294,29.486,29.448,29.467,29.428,29.332,29.39,29.428,29.294,29.236,29.352,29.005,29.275,29.256,29.256,29.313,29.236,29.332,29.14,29.332,29.102,29.005,28.928,29.275,28.909,29.082,28.967,29.102,28.928,28.947,28.832,28.87,28.58,28.696,28.6,28.716,28.464,28.658,28.774,28.522,28.58,28.406,28.503,28.638,28.638,28.348,28.445,28.387,28.232,28.27,28.367,28.619,28.329,28.561,28.251,28.251,28.329,28.329,28.037,28.018,27.843,27.998,27.843,27.901,27.96,27.94,27.901,27.843,27.804,27.706,27.726,27.745,27.628,27.628,27.491,27.394,27.374,27.394,27.57,27.53,27.257,27.296,27.687,27.217,27.198,27.178,27.198,27.354,27.257,26.982,27.06,27.159,27.315,27.413,27.178,27.139,26.943,26.884,26.884,26.805,26.805,26.943,26.903,26.726,26.746,26.628,26.49,26.529,26.529,26.391,26.47,26.431,26.371,26.49,26.509,26.233,26.233,26.094,26.193,26.292,25.797,25.678,25.956,25.916,25.757,25.837,25.896,25.558,25.837,25.578,25.319,25.498,25.598,25.399,25.379,25.139,25.359,25.459,25.379,25.498,25.119,25.099,25.079,24.899,24.959,24.879,24.999,24.759,25.059,24.819,24.839,24.678,24.919,24.678,24.739,24.518,24.759,24.578,24.959,24.578,24.397,24.276,24.558,24.377,24.437,24.397,24.377,24.094,24.054,23.933,24.155,23.993,23.933,23.832,23.791,23.953,23.953,24.014,23.528,23.588,23.121,23.832,23.649,23.446,23.385,23.1,23.406,23.324,23.182,23.182,23.202,23.385,23.1,23.263,23.121,23.507,23.161,23.182
